date,distance_to_mercury,distance_to_venus,distance_to_earth,distance_to_sun
2024-09-20,0.6992332863286405,0.9433618193824402,0.601922150365991,0.3966999907679874
2024-09-21,0.6876560402144218,0.9285186045750268,0.626487577201166,0.37223080741895953
2024-09-22,0.673281356279494,0.9140678906166688,0.6529432751848271,0.3461923503394936
2024-09-23,0.6559429089440081,0.9000746214077794,0.6816083330281932,0.3183885190095646
2024-09-24,0.6353847000919152,0.8865832274756434,0.712911275247053,0.2885696628100201
2024-09-25,0.6111988003367422,0.8735875778687482,0.7474485993304855,0.256411090820535
2024-09-26,0.5827061008896764,0.8609614403842814,0.7860903555176372,0.22148234995480262
2024-09-27,0.5487028898476931,0.848278765408352,0.8301857021184901,0.1832124286314767
2024-09-28,0.5068541110852426,0.8342633245550979,0.8819923278240243,0.14092170595174866
2024-09-29,0.45213660281357254,0.8146046560435084,0.9454660326695001,0.09461495799175071
2024-09-30,0.3780333348861784,0.771220285547493,1.0219199617609243,0.055290830680643485
2024-10-01,0.34103745938347874,0.6904223243082165,1.0601478702217468,0.07448321459265898
2024-10-02,0.36081912273567085,0.6281934340175075,1.0560894385787631,0.12106499970376744
2024-10-03,0.3909404504494069,0.5839824587282129,1.0446540621976361,0.16525311345067795
2024-10-04,0.4204781912776576,0.5498928259925756,1.032891424402249,0.20519892663295627
2024-10-05,0.44733525074492714,0.5221495685650298,1.0222724937649474,0.241509252551915
2024-10-06,0.4711969758154941,0.4987360424327547,1.0131413318110718,0.27481855951394146
2024-10-07,0.49217574540213005,0.4784396123220523,1.0055335846189137,0.3056150916526852
2024-10-08,0.5104815457664121,0.4604673195215364,0.9993867516449865,0.3342654419498234
2024-10-09,0.5263311124452288,0.44426913996430245,0.9946066708609504,0.3610489228154733
2024-10-10,0.539923050167061,0.42944714362853814,0.9910912646730368,0.3861829111144171
2024-10-11,0.5514329756798109,0.41570455990258137,0.9887395449529207,0.4098401178055345
2024-10-12,0.5610147996192503,0.40281518606059313,0.9874550153831132,0.4321603299485163
2024-10-13,0.5688036387532499,0.3906039716969252,0.9871468133972429,0.4532585295349024
2024-10-14,0.5749188709388514,0.37893413204007076,0.9877299140168233,0.47323062825445245
2024-10-15,0.5794668786367387,0.3676982768565381,0.9891249458189187,0.49215760649545903
2024-10-16,0.5825433873845741,0.3568121204293085,0.9912578546034091,0.5101085617159908
2024-10-17,0.5842354266888009,0.3462099155129095,0.9940595182013177,0.5271429955712804
2024-10-18,0.5846229745978044,0.3358410788804484,0.9974653604705691,0.5433125585735372
2024-10-19,0.5837803507904462,0.32566766604168934,1.001414989354028,0.5586624015241948
2024-10-20,0.5817774195247905,0.3156624684404405,1.0058518710617845,0.573232240303657
2024-10-21,0.5786806586083219,0.30580757906103734,1.010723043852874,0.5870572144472127
2024-10-22,0.574554043660145,0.2960933267616909,1.015978877478831,0.600168497943133
2024-10-23,0.5694600026483209,0.2865174849925029,1.0215728388138734,0.6125939236570697
2024-10-24,0.5634602301709145,0.2770847206058014,1.027461291690475,0.624358408556563
2024-10-25,0.5566165129123866,0.26780622885346883,1.0336033027920786,0.6354843262360516
2024-10-26,0.5489915633061624,0.2586995226308027,1.0399604559468536,0.6459918170391783
2024-10-27,0.5406498824651502,0.24978834488198698,1.0464966747003932,0.6558990479026436
2024-10-28,0.5316586719358456,0.24110267202473254,1.0531780539772622,0.6652224314801012
2024-10-29,0.5220888121810248,0.23267877092287578,1.0599727013221218,0.673976811956037
2024-10-30,0.5120159234150916,0.2245592618116474,1.0668505880341503,0.6821756234284069
2024-10-31,0.5015215207357997,0.2167931245458804,1.0737834106630644,0.6898310255933896
2024-11-01,0.4906942693121902,0.209435566097851,1.0807444635611414,0.6969540206351695
2024-11-02,0.4796313352743123,0.20254764543277096,1.0877085235443993,0.7035545547771256
2024-11-03,0.46843981182014394,0.19619553258559044,1.0946517495121633,0.709641608106404
2024-11-04,0.45723817499575653,0.19044927141807802,1.1015516066045172,0.715223277492925
2024-11-05,0.4461576867663206,0.185380939613941,1.1083868643563388,0.7203068708467234
2024-11-06,0.43534359151774493,0.18106224205654398,1.1151380264685584,0.7248991259969944
2024-11-07,0.42449693988470544,0.17752809134323622,1.1216611961091638,0.7285166358164475
2024-11-08,0.4126278215166675,0.17470923541460734,1.127409063510594,0.7298689850137542
2024-11-09,0.40151402024911637,0.17281282759142275,1.132936898972846,0.7307308479030664
2024-11-10,0.39135263931215225,0.17187510668497202,1.1382322151069817,0.7311038189083601
2024-11-11,0.38235292651333924,0.17191366122459756,1.1432802275323066,0.7309884376869463
2024-11-12,0.3747303198047744,0.17292650701481857,1.1480662587161303,0.7303845869528113
2024-11-13,0.36869860763514234,0.17489225257051805,1.15257588080224,0.7292915253503489
2024-11-14,0.3644597411095075,0.17777182175611864,1.1567948874712726,0.7277078905327824
2024-11-15,0.3621919100198084,0.1815114387290492,1.1607092227781868,0.7256316926232503
2024-11-16,0.36203715597445557,0.1860463641573287,1.1643048953017092,0.7230603016184473
2024-11-17,0.3640902837214429,0.19130482554801284,1.167567892596408,0.7199904292729499
2024-11-18,0.36839090889865833,0.19721167361571101,1.1704841067901126,0.7164181060498273
2024-11-19,0.37492000076454945,0.20369145991990392,1.1730392761855053,0.7123386523292448
2024-11-20,0.3836013429249122,0.21067080354026096,1.175218941606477,0.7077466437429661
2024-11-21,0.394307271722476,0.2180800520026822,1.177008411104271,0.7026358697748022
2024-11-22,0.40686725703199694,0.22585432751513784,1.1783927254958961,0.6969992850434422
2024-11-23,0.42107760365661495,0.23393408805575644,1.1793566190053941,0.690828952098461
2024-11-24,0.436710764703873,0.24226533742260867,1.179884472821257,0.6841159751201888
2024-11-25,0.4535232703276307,0.25079960351742614,1.1799602609582784,0.6768504223181598
2024-11-26,0.47126185042783353,0.25949378172793314,1.1795674893775612,0.6690212355860174
2024-11-27,0.48966779540462946,0.2683099171348267,1.1786891292091115,0.6606161253454174
2024-11-28,0.5084798899652307,0.27721497941017503,1.1773075447042796,0.6516214477765897
2024-11-29,0.5274363818211628,0.28618066879354115,1.1754044165320892,0.6420220612399777
2024-11-30,0.5462764531402136,0.29518328086295087,1.1729606607846648,0.6318011576313242
2024-12-01,0.5647415944356918,0.3042036509760207,1.1699563436215186,0.6209400636312328
2024-12-02,0.5825771717459753,0.3132271961310906,1.1663705908943471,0.6094180052419892
2024-12-03,0.5995343504483378,0.3222440716981426,1.162181491783846,0.5972118272639179
2024-12-04,0.6153724063410114,0.3312494627274946,1.1573659955891036,0.5842956571541896
2024-12-05,0.6298613273596607,0.3402440348478754,1.1518998013007122,0.5706404991195893
2024-12-06,0.6427844998692833,0.34923457755358206,1.1457572407282761,0.5562137403083903
2024-12-07,0.6539411930463552,0.35823488486564736,1.1389111579697233,0.5409785445228429
2024-12-08,0.6631485147675982,0.36726693439543323,1.1313327915458813,0.5248931017824746
